"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00998,United States (Metropolitan Portion),32033,32989,33213,34046,35606,37180,39524,41303,42479,40751,41994,44112,45780,45847,47838,49744,50759,52886,55295,57621,61179,66663,68517,72275
10180,"Abilene, TX (Metropolitan Statistical Area)",23081,23795,24851,26458,27410,28776,30450,31933,35228,33490,34934,36805,38127,39106,41441,39846,39140,40357,42753,45049,47854,51995,53514,56034
10420,"Akron, OH (Metropolitan Statistical Area)",29624,30126,30521,31643,32818,33619,34952,36611,38358,37087,38080,39795,41100,41645,43334,44678,45468,47169,49098,50915,54376,59583,59609,62904
10500,"Albany, GA (Metropolitan Statistical Area)",22392,22873,23899,24805,25402,26231,26717,27800,28949,29452,30316,32247,32362,32190,33083,33835,34439,35298,36119,37905,42071,46969,46754,48546
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",22828,24753,25269,25511,27047,27727,29531,30300,30913,30633,31610,32323,33278,33725,35916,37973,39023,40602,43083,44306,48033,52230,54123,57016
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",32510,33798,33865,34731,36000,36908,38624,40209,42442,42625,44147,45559,46712,47440,48769,51114,52010,54705,56185,58358,62728,66929,67884,71972
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",26605,27672,28149,28963,30161,31254,32924,33770,35078,34503,34521,35722,35923,35336,37292,38653,40062,40817,42196,44616,48463,52372,54687,57278
10780,"Alexandria, LA (Metropolitan Statistical Area)",23312,25496,26351,26621,28365,30774,31732,33209,35092,34570,34936,36684,38265,38259,38667,39273,39871,40300,41872,43553,47669,51240,51601,53765
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",30364,32403,33077,33804,35202,37089,38379,41063,42372,40845,42273,43507,43933,44317,45787,47673,48886,50126,52119,54955,58589,61836,62900,66493
11020,"Altoona, PA (Metropolitan Statistical Area)",24903,25293,26170,27211,28561,29653,30530,32037,33289,33755,35025,36965,37579,37506,39003,40957,41617,42768,44994,46395,50793,54826,55071,57782
11100,"Amarillo, TX (Metropolitan Statistical Area)",24103,26439,27054,27863,28001,29494,31242,33003,36684,35241,38035,40067,40663,41101,42715,42739,42493,44028,45744,48372,51696,55923,56643,60182
11180,"Ames, IA (Metropolitan Statistical Area)",26841,27504,28156,29183,30584,31278,33167,34694,35988,34771,34741,36875,39705,38097,39051,39816,39975,40704,42837,44051,45990,49396,54141,55770
11260,"Anchorage, AK (Metropolitan Statistical Area)",34160,36292,37658,38770,40019,42019,44017,47434,51770,50537,52739,55058,55739,54237,56805,58826,57352,58121,60695,62030,63690,67198,71166,73829
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",36150,37327,38243,39614,39670,40041,41199,42295,44688,41633,45725,45081,47595,47345,49121,51521,53257,55491,57765,60743,63356,70844,72867,77537
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",22104,23159,24132,25180,26559,27457,28520,30039,30912,30132,30950,31651,31958,31620,32439,33651,34013,34695,35643,36761,39562,43215,42668,44737
11540,"Appleton, WI (Metropolitan Statistical Area)",29811,31312,32041,32514,33378,34259,35598,37148,38553,37528,38429,40593,41939,42274,43958,45447,46659,48158,49971,51944,54662,59152,61306,64216
11700,"Asheville, NC (Metropolitan Statistical Area)",26267,27120,27125,27433,29118,30319,32333,33749,34530,33262,33642,34768,36434,36047,38096,39942,41304,42857,44974,47747,50202,55707,58103,62050
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",23576,24550,25109,26041,26574,27747,28351,29310,29748,29167,29506,30721,31770,32043,34229,35999,36820,38520,39885,41613,44480,48257,51357,53221
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",33861,34938,35008,35493,36913,38446,40062,40783,39890,38287,38666,41091,41697,41847,44516,46735,48350,50921,53083,55471,58176,63281,64840,68027
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",31664,29156,29844,30521,31972,33365,36359,38012,39139,38121,38607,40093,40619,41058,41915,42533,43138,44387,46186,49154,54547,57601,57267,60493
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",20941,21327,22178,23452,25150,25961,27305,28471,30036,29170,29951,30881,31840,31445,32621,33768,34720,35651,36517,38989,41046,45218,46140,48511
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",24603,25126,26086,27174,28282,29120,30246,31305,32251,32435,33255,34979,34938,34912,36352,38139,38836,40369,41580,43465,46863,49994,50248,52069
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",33077,35395,34476,34387,34293,36447,38968,39838,42046,39837,41402,44575,47221,48069,50627,51880,52469,56252,59840,62444,63982,70971,75999,80471
12540,"Bakersfield, CA (Metropolitan Statistical Area)",21463,22337,23116,23974,24985,26034,27293,28861,29194,28590,30669,32140,33729,34301,36164,36534,36172,36580,37566,39301,44528,46934,44595,47350
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",34530,35783,36855,38022,39908,41842,44208,46273,47893,47156,48203,50217,51099,51047,52631,54357,55722,57544,59439,61797,65607,70211,72580,76923
12620,"Bangor, ME (Metropolitan Statistical Area)",24925,25690,26583,27188,28199,29123,29840,31000,32431,33348,33455,34633,34860,35152,35927,37304,38375,39494,41170,42732,47299,50983,52179,53978
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",36181,39586,39577,40602,43676,44058,46188,47930,49634,49744,51521,53322,55241,55454,57927,60365,62353,64157,67040,72787,78437,84248,86325,92417
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",24902,26064,26787,27659,29490,31968,33382,35804,38081,37403,38308,40261,41373,41802,42886,43450,44064,45357,47440,49089,52237,56987,58423,61972
12980,"Battle Creek, MI (Metropolitan Statistical Area)",25146,25649,26498,27012,27609,28324,28860,29974,31402,31078,32068,32986,33996,34216,34984,36868,37369,37988,38846,40009,43929,45745,46210,47947
13020,"Bay City, MI (Metropolitan Statistical Area)",26451,27020,26955,27662,28277,28638,29746,30819,32227,32265,33587,34792,35302,35450,36356,37962,39028,39432,41691,42643,46668,50581,49936,52579
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",23845,24966,25359,26402,26730,28292,30705,31976,34426,33878,35541,36932,38692,37649,40518,41324,41036,42012,43316,44384,46405,48592,48741,51459
13220,"Beckley, WV (Metropolitan Statistical Area)",20785,22447,23207,23286,23971,25257,26894,26879,28976,29704,30949,33903,34252,33537,34488,35148,34390,36707,38773,40829,42454,46184,47591,50178
